Iteration	Y	var_1	var_2	var_3
1.0	0.6007811091130326	4.470632637118848	-11.753871771116389	-7.624425747273364
2.0	1.1182161821227659	5.315029935655089	-3.626216786443152	-4.620627181429792
3.0	0.4124948544067768	3.9026602876675756	-8.167947580801656	-8.24239550168802
4.0	0.5004173828040577	4.8541876394031265	-9.012289717086132	-7.067505321569947
5.0	0.27594305388211127	6.392813859285035	-11.937029097215571	-11.859603465806789
6.0	0.28955025323738637	5.914328020767163	-8.959843979236028	-12.0
7.0	0.4040117518466651	0.9263887597853319	-9.209201809580565	-12.0
8.0	0.49569933338356736	0.0	-3.0693147250735313	-12.0
9.0	0.2987483385894674	7.0	-10.581501653348893	-12.0
10.0	0.30520600482742066	4.638831880705501	-10.796521739372457	-12.0
11.0	0.3121476999626866	4.074583139028637	-6.670891505778118	-12.0
12.0	0.3023890700712516	7.0	-5.178689675431136	-12.0
13.0	0.375586788405816	7.0	-7.429991001855528	-10.609224190364111
14.0	0.6491463866984275	0.0	-12.0	-2.0
15.0	0.25454757409288786	7.0	-2.0	-12.0
16.0	0.2510454544914753	5.210640833899342	-2.0	-12.0
17.0	0.2589531769520349	5.903857270433117	-2.874695039935129	-12.0
18.0	0.48949440505805947	0.0	-12.0	-12.0
19.0	0.45589343481907046	0.0	-7.92965136690404	-7.521219508586806
20.0	0.3046370515647898	4.3138575220191635	-2.903629982741894	-12.0
21.0	0.24155841253727622	6.011846670556615	-2.0	-12.0
22.0	0.6646149069754099	7.0	-12.0	-2.0
23.0	0.26399116328316563	5.952413228432421	-2.0	-11.28762691081034
24.0	0.4391779797609958	0.0	-2.0	-7.945240664043306
25.0	0.6706841724162669	0.0	-2.0	-2.0
26.0	0.2873992410866838	1.4408755048342075	-5.827802250303854	-9.864680824664879
27.0	0.3096435525665071	0.0	-6.260613908805041	-10.110941793570808
28.0	0.39029498693105713	0.0	-4.997856206561864	-8.556579227270461
29.0	0.2961410782579367	2.1258603950705073	-7.255591380579474	-10.445374317343225
30.0	0.37952741293060266	7.0	-12.0	-10.419945221046628
31.0	0.3223384105397811	3.8898326787650013	-5.484715295686754	-10.319370138595666
32.0	0.2602726351004553	3.130449620301978	-2.0	-10.226670949504934
33.0	0.26058805718435907	4.223249563460897	-2.0	-10.649120281617575
34.0	0.2935578443236455	2.516457885569205	-3.3566304028439675	-9.950703503272472
35.0	0.2462486956364382	3.1794566215251936	-2.0	-11.0131712147763
36.0	0.28121142875994004	4.388383405030303	-8.465379844516919	-11.02247594358767
37.0	0.32126702170793764	2.1424595992413646	-2.0	-10.571072217987874
38.0	0.2403996939335599	6.055818285927963	-2.0	-12.0
39.0	0.33306537984703216	1.2471329665133368	-6.200802870092865	-11.93474764364188
40.0	0.28419369944121237	7.0	-3.0938349724073384	-12.0
41.0	0.2889413208174977	5.89414300199179	-6.96651001534876	-12.0
42.0	0.2992197706766922	7.0	-12.0	-12.0
43.0	0.23877227304194926	3.61029253353525	-2.0	-10.988919271412863
44.0	0.2970573120438715	5.084526427920185	-12.0	-12.0
45.0	0.3622892765634971	5.509810051556763	-9.962707543118263	-10.744875701030182
46.0	0.3140906084259705	3.9529936956293805	-8.542169104669025	-12.0
47.0	0.26826333080581943	3.4620561186611924	-2.366245731331483	-10.774408894075492
48.0	0.46263855101682305	0.0	-12.0	-8.000438580432009
49.0	0.3147329663242585	0.0	-8.765538391286798	-9.978389378870592
50.0	0.2820031718938772	2.1157423612930244	-4.933075161813322	-10.716473849279588
51.0	0.27809603748149553	5.668032284518194	-4.772966873021327	-12.0
52.0	0.3091086852555637	2.105819812761796	-9.470982615784274	-9.894912718249502
53.0	0.6492401290423135	0.0	-7.310597767919103	-2.0
54.0	0.31589356696054166	4.884219143428704	-7.165909612182835	-10.817309770455738
55.0	0.23950381409054491	3.7020948161816762	-2.0	-11.455328853430684
