func,heuristic,mean,median
egg,seq,0.95307042015465,1.0
branin,seq,0.9493783867994312,1.0
hartmann,seq,0.9868492927126855,1.0
egg,kb,0.9734603059126364,0.9999999999999997
branin,kb,0.9245878909564885,1.0
hartmann,kb,0.8048696512886707,1.0
egg,cl-mean,0.9420571039850147,0.9999999999972029
branin,cl-mean,0.7162221767384072,1.0
hartmann,cl-mean,0.7521219685018803,0.9999998195002202
egg,cl-min,0.8265107340866598,0.9999985752327654
branin,cl-min,0.6814419948213101,0.9999999974753602
hartmann,cl-min,0,0
egg,cl-max,0.9145620299141578,0.9999999999973317
branin,cl-max,0.701686016589211,1.0
hartmann,cl-max,0,0
egg,random_except_1st,0.9676688468541049,0.9999999994466576
branin,random_except_1st,0.9483179207685993,1.0
hartmann,random_except_1st,0,0
